run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_strategy	library_source	first_public	experiment_title	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
SRR8615033	PRJNA523380	SAMN10988141	SRX5414207	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC56_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC56_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_2.fastq.gz		HCC56_LARGE_INTESTINE	HCC56_LARGE_INTESTINE	
SRR8615034	PRJNA523380	SAMN10988287	SRX5414206	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC78_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC78_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_2.fastq.gz		HCC78_LUNG	HCC78_LUNG	
SRR8615035	PRJNA523380	SAMN10989587	SRX5414205	9606	Homo sapiens	Illumina MiSeq	TERTp-HOP62_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HOP62_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_2.fastq.gz		HOP62_LUNG	HOP62_LUNG	
SRR8615042	PRJNA523380	SAMN10987804	SRX5414198	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH810_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH810_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_2.fastq.gz		NCIH810_LUNG	NCIH810_LUNG	
SRR8615047	PRJNA523380	SAMN10987678	SRX5414193	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH322_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH322_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_2.fastq.gz		NCIH322_LUNG	NCIH322_LUNG	
SRR8615048	PRJNA523380	SAMN10988040	SRX5414192	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH292_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH292_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_2.fastq.gz		NCIH292_LUNG	NCIH292_LUNG	
SRR8615049	PRJNA523380	SAMN10987612	SRX5414191	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH28_PLEURA	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH28_PLEURA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_2.fastq.gz		NCIH28_PLEURA	NCIH28_PLEURA	
SRR8615055	PRJNA523380	SAMN10987709	SRX5414185	9606	Homo sapiens	Illumina MiSeq	TERTp-LMSU_STOMACH	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of LMSU_STOMACH	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615055/SRR8615055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615055/SRR8615055_2.fastq.gz		LMSU_STOMACH	LMSU_STOMACH	
SRR8615057	PRJNA523380	SAMN10987819	SRX5414183	9606	Homo sapiens	Illumina MiSeq	TERTp-KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_2.fastq.gz		KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8615060	PRJNA523380	SAMN10988515	SRX5414180	9606	Homo sapiens	Illumina MiSeq	TERTp-KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615060/SRR8615060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615060/SRR8615060_2.fastq.gz		KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8615064	PRJNA523380	SAMN10987771	SRX5414176	9606	Homo sapiens	Illumina MiSeq	TERTp-SW1463_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SW1463_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615064/SRR8615064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615064/SRR8615064_2.fastq.gz		SW1463_LARGE_INTESTINE	SW1463_LARGE_INTESTINE	
SRR8615065	PRJNA523380	SAMN10988110	SRX5414175	9606	Homo sapiens	Illumina MiSeq	TERTp-T3M10_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of T3M10_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615065/SRR8615065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615065/SRR8615065_2.fastq.gz		T3M10_LUNG	T3M10_LUNG	
SRR8615066	PRJNA523380	SAMN10987608	SRX5414174	9606	Homo sapiens	Illumina MiSeq	TERTp-TC71_BONE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of TC71_BONE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615066/SRR8615066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615066/SRR8615066_2.fastq.gz		TC71_BONE	TC71_BONE	
SRR8615067	PRJNA523380	SAMN10987646	SRX5414173	9606	Homo sapiens	Illumina MiSeq	TERTp-SW480_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SW480_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615067/SRR8615067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615067/SRR8615067_2.fastq.gz		SW480_LARGE_INTESTINE	SW480_LARGE_INTESTINE	
SRR8615068	PRJNA523380	SAMN10987996	SRX5414172	9606	Homo sapiens	Illumina MiSeq	TERTp-SW837_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SW837_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615068/SRR8615068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615068/SRR8615068_2.fastq.gz		SW837_LARGE_INTESTINE	SW837_LARGE_INTESTINE	
SRR8615072	PRJNA523380	SAMN10988171	SRX5414168	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1755_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1755_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615072/SRR8615072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615072/SRR8615072_2.fastq.gz		NCIH1755_LUNG	NCIH1755_LUNG	
SRR8615074	PRJNA523380	SAMN10987877	SRX5414166	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1568_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1568_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615074/SRR8615074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615074/SRR8615074_2.fastq.gz		NCIH1568_LUNG	NCIH1568_LUNG	
SRR8615075	PRJNA523380	SAMN10988320	SRX5414165	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1395_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1395_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615075/SRR8615075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615075/SRR8615075_2.fastq.gz		NCIH1395_LUNG	NCIH1395_LUNG	
SRR8615076	PRJNA523380	SAMN10988000	SRX5414164	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1436_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1436_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615076/SRR8615076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615076/SRR8615076_2.fastq.gz		NCIH1436_LUNG	NCIH1436_LUNG	
SRR8615079	PRJNA523380	SAMN10987661	SRX5414161	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1573_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1573_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615079/SRR8615079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615079/SRR8615079_2.fastq.gz		NCIH1573_LUNG	NCIH1573_LUNG	
SRR8615090	PRJNA523380	SAMN10988087	SRX5414150	9606	Homo sapiens	Illumina MiSeq	TERTp-SNU503_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SNU503_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615090/SRR8615090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615090/SRR8615090_2.fastq.gz		SNU503_LARGE_INTESTINE	SNU503_LARGE_INTESTINE	
SRR8615095	PRJNA523380	SAMN10988071	SRX5414145	9606	Homo sapiens	Illumina MiSeq	TERTp-SNU216_STOMACH	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SNU216_STOMACH	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615095/SRR8615095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615095/SRR8615095_2.fastq.gz		SNU216_STOMACH	SNU216_STOMACH	
SRR8615104	PRJNA523380	SAMN10987671	SRX5414136	9606	Homo sapiens	Illumina MiSeq	TERTp-ISTMES1_PLEURA	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of ISTMES1_PLEURA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615104/SRR8615104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615104/SRR8615104_2.fastq.gz		ISTMES1_PLEURA	ISTMES1_PLEURA	
SRR8615105	PRJNA523380	SAMN10987865	SRX5414135	9606	Homo sapiens	Illumina MiSeq	TERTp-HUG1N_STOMACH	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HUG1N_STOMACH	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615105/SRR8615105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615105/SRR8615105_2.fastq.gz		HUG1N_STOMACH	HUG1N_STOMACH	
SRR8615106	PRJNA523380	SAMN10987936	SRX5414134	9606	Homo sapiens	Illumina MiSeq	TERTp-IALM_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of IALM_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615106/SRR8615106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615106/SRR8615106_2.fastq.gz		IALM_LUNG	IALM_LUNG	
SRR8615109	PRJNA523380	SAMN10988157	SRX5414131	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1838_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1838_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615109/SRR8615109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615109/SRR8615109_2.fastq.gz		NCIH1838_LUNG	NCIH1838_LUNG	
SRR8615116	PRJNA523380	SAMN10989581	SRX5414124	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH2073_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH2073_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615116/SRR8615116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615116/SRR8615116_2.fastq.gz		NCIH2073_LUNG	NCIH2073_LUNG	
SRR8615117	PRJNA523380	SAMN10987597	SRX5414123	9606	Homo sapiens	Illumina MiSeq	TERTp-SW1116_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SW1116_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615117/SRR8615117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615117/SRR8615117_2.fastq.gz		SW1116_LARGE_INTESTINE	SW1116_LARGE_INTESTINE	
SRR8615118	PRJNA523380	SAMN10988374	SRX5414122	9606	Homo sapiens	Illumina MiSeq	TERTp-SQ1_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SQ1_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615118/SRR8615118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615118/SRR8615118_2.fastq.gz		SQ1_LUNG	SQ1_LUNG	
SRR8615119	PRJNA523380	SAMN10987730	SRX5414121	9606	Homo sapiens	Illumina MiSeq	TERTp-SNU761_LIVER	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SNU761_LIVER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615119/SRR8615119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615119/SRR8615119_2.fastq.gz		SNU761_LIVER	SNU761_LIVER	
SRR8615120	PRJNA523380	SAMN10988060	SRX5414120	9606	Homo sapiens	Illumina MiSeq	TERTp-SNU719_STOMACH	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SNU719_STOMACH	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615120/SRR8615120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615120/SRR8615120_2.fastq.gz		SNU719_STOMACH	SNU719_STOMACH	
SRR8615128	PRJNA523380	SAMN10987785	SRX5414112	9606	Homo sapiens	Illumina MiSeq	TERTp-COLO800_SKIN	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of COLO800_SKIN	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615128/SRR8615128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615128/SRR8615128_2.fastq.gz		COLO800_SKIN	COLO800_SKIN	
SRR8615130	PRJNA523380	SAMN10988464	SRX5414110	9606	Homo sapiens	Illumina MiSeq	TERTp-CL40_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of CL40_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615130/SRR8615130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615130/SRR8615130_2.fastq.gz		CL40_LARGE_INTESTINE	CL40_LARGE_INTESTINE	
SRR8615132	PRJNA523380	SAMN10988457	SRX5414108	9606	Homo sapiens	Illumina MiSeq	TERTp-CL14_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of CL14_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615132/SRR8615132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615132/SRR8615132_2.fastq.gz		CL14_LARGE_INTESTINE	CL14_LARGE_INTESTINE	
SRR8615135	PRJNA523380	SAMN10988260	SRX5414105	9606	Homo sapiens	Illumina MiSeq	TERTp-COLO679_SKIN	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of COLO679_SKIN	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615135/SRR8615135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615135/SRR8615135_2.fastq.gz		COLO679_SKIN	COLO679_SKIN	
SRR8615137	PRJNA523380	SAMN10988498	SRX5414103	9606	Homo sapiens	Illumina MiSeq	TERTp-NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615137/SRR8615137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615137/SRR8615137_2.fastq.gz		NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8615139	PRJNA523380	SAMN10988144	SRX5414101	9606	Homo sapiens	Illumina MiSeq	TERTp-MPP89_PLEURA	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of MPP89_PLEURA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615139/SRR8615139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615139/SRR8615139_2.fastq.gz		MPP89_PLEURA	MPP89_PLEURA	
SRR8615146	PRJNA523380	SAMN10988153	SRX5414094	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH1373_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH1373_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615146/SRR8615146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615146/SRR8615146_2.fastq.gz		NCIH1373_LUNG	NCIH1373_LUNG	
SRR8615148	PRJNA523380	SAMN10987780	SRX5414092	9606	Homo sapiens	Illumina MiSeq	TERTp-RERFLCAI_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of RERFLCAI_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615148/SRR8615148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615148/SRR8615148_2.fastq.gz		RERFLCAI_LUNG	RERFLCAI_LUNG	
SRR8615150	PRJNA523380	SAMN10988297	SRX5414090	9606	Homo sapiens	Illumina MiSeq	TERTp-RERFLCAD1_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of RERFLCAD1_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615150/SRR8615150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615150/SRR8615150_2.fastq.gz		RERFLCAD1_LUNG	RERFLCAD1_LUNG	
SRR8615153	PRJNA523380	SAMN10988456	SRX5414087	9606	Homo sapiens	Illumina MiSeq	TERTp-NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615153/SRR8615153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615153/SRR8615153_2.fastq.gz		NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8615157	PRJNA523380	SAMN10987846	SRX5414083	9606	Homo sapiens	Illumina MiSeq	TERTp-CAL12T_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of CAL12T_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615157/SRR8615157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615157/SRR8615157_2.fastq.gz		CAL12T_LUNG	CAL12T_LUNG	
SRR8615158	PRJNA523380	SAMN10988559	SRX5414082	9606	Homo sapiens	Illumina MiSeq	TERTp-CADOES1_BONE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of CADOES1_BONE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615158/SRR8615158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615158/SRR8615158_2.fastq.gz		CADOES1_BONE	CADOES1_BONE	
SRR8615160	PRJNA523380	SAMN10988379	SRX5414080	9606	Homo sapiens	Illumina MiSeq	TERTp-MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615160/SRR8615160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615160/SRR8615160_2.fastq.gz		MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8615164	PRJNA523380	SAMN10988548	SRX5414076	9606	Homo sapiens	Illumina MiSeq	TERTp-MHHES1_BONE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of MHHES1_BONE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615164/SRR8615164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615164/SRR8615164_2.fastq.gz		MHHES1_BONE	MHHES1_BONE	
SRR8615170	PRJNA523380	SAMN10987715	SRX5414070	9606	Homo sapiens	Illumina MiSeq	TERTp-CJM_SKIN	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of CJM_SKIN	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615170/SRR8615170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615170/SRR8615170_2.fastq.gz		CJM_SKIN	CJM_SKIN	
SRR8615171	PRJNA523380	SAMN10988234	SRX5414069	9606	Homo sapiens	Illumina MiSeq	TERTp-SKMEL3_SKIN	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SKMEL3_SKIN	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615171/SRR8615171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615171/SRR8615171_2.fastq.gz		SKMEL3_SKIN	SKMEL3_SKIN	
SRR8615173	PRJNA523380	SAMN10987752	SRX5414067	9606	Homo sapiens	Illumina MiSeq	TERTp-SNU1033_LARGE_INTESTINE	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of SNU1033_LARGE_INTESTINE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615173/SRR8615173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615173/SRR8615173_2.fastq.gz		SNU1033_LARGE_INTESTINE	SNU1033_LARGE_INTESTINE	
SRR8615181	PRJNA523380	SAMN10987756	SRX5414059	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC1171_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC1171_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615181/SRR8615181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615181/SRR8615181_2.fastq.gz		HCC1171_LUNG	HCC1171_LUNG	
SRR8615184	PRJNA523380	SAMN10988074	SRX5414056	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC1195_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC1195_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615184/SRR8615184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615184/SRR8615184_2.fastq.gz		HCC1195_LUNG	HCC1195_LUNG	
SRR8615190	PRJNA523380	SAMN10987735	SRX5414050	9606	Homo sapiens	Illumina MiSeq	TERTp-HCC2279_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of HCC2279_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615190/SRR8615190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615190/SRR8615190_2.fastq.gz		HCC2279_LUNG	HCC2279_LUNG	
SRR8615194	PRJNA523380	SAMN10988024	SRX5414046	9606	Homo sapiens	Illumina MiSeq	TERTp-NCIH2172_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina MiSeq sequencing: TERTp of NCIH2172_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615194/SRR8615194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615194/SRR8615194_2.fastq.gz		NCIH2172_LUNG	NCIH2172_LUNG	
