run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_strategy	library_source	first_public	experiment_title	fastq_ftp	submitted_ftp	sample_alias	sample_title	bam_ftp
SRR8639220	PRJNA523380	SAMN10987979	SRX5437513	9606	Homo sapiens	Illumina HiSeq 2000	WGS-DMS454_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of DMS454_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/000/SRR8639220/SRR8639220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/000/SRR8639220/SRR8639220_2.fastq.gz		DMS454_LUNG	DMS454_LUNG	
SRR8633797	PRJNA523380	SAMN10988316	SRX5432275	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-C32_SKIN	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of C32_SKIN	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/007/SRR8633797/SRR8633797.fastq.gz		C32_SKIN	C32_SKIN	
SRR8639226	PRJNA523380	SAMN10987984	SRX5437507	9606	Homo sapiens	Illumina HiSeq 2000	WGS-CORL311_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of CORL311_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8639226/SRR8639226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8639226/SRR8639226_2.fastq.gz		CORL311_LUNG	CORL311_LUNG	
SRR8633798	PRJNA523380	SAMN10987640	SRX5432274	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-CAKI1_KIDNEY	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of CAKI1_KIDNEY	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8633798/SRR8633798.fastq.gz		CAKI1_KIDNEY	CAKI1_KIDNEY	
SRR8635802	PRJNA523380	SAMN10987609	SRX5434578	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-NCIH2227_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of NCIH2227_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/002/SRR8635802/SRR8635802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/002/SRR8635802/SRR8635802_2.fastq.gz		NCIH2227_LUNG	NCIH2227_LUNG	
SRR8633799	PRJNA523380	SAMN10988559	SRX5432273	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-CADOES1_BONE	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of CADOES1_BONE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8633799/SRR8633799.fastq.gz		CADOES1_BONE	CADOES1_BONE	
SRR8639228	PRJNA523380	SAMN10987711	SRX5437505	9606	Homo sapiens	Illumina HiSeq 2000	WGS-COLO668_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of COLO668_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8639228/SRR8639228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8639228/SRR8639228_2.fastq.gz		COLO668_LUNG	COLO668_LUNG	
SRR8635809	PRJNA523380	SAMN10988078	SRX5434571	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-SNU1105_CENTRAL_NERVOUS_SYSTEM	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of SNU1105_CENTRAL_NERVOUS_SYSTEM	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8635809/SRR8635809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8635809/SRR8635809_2.fastq.gz		SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	
SRR8633801	PRJNA523380	SAMN10988139	SRX5432271	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-SNU1_STOMACH	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of SNU1_STOMACH	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/001/SRR8633801/SRR8633801.fastq.gz		SNU1_STOMACH	SNU1_STOMACH	
SRR8633805	PRJNA523380	SAMN10988083	SRX5432267	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-SNU245_BILIARY_TRACT	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of SNU245_BILIARY_TRACT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/005/SRR8633805/SRR8633805.fastq.gz		SNU245_BILIARY_TRACT	SNU245_BILIARY_TRACT	
SRR8635813	PRJNA523380	SAMN10988183	SRX5434567	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HCC202_BREAST	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HCC202_BREAST	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/003/SRR8635813/SRR8635813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/003/SRR8635813/SRR8635813_2.fastq.gz		HCC202_BREAST	HCC202_BREAST	
SRR8639234	PRJNA523380	SAMN10988289	SRX5437499	9606	Homo sapiens	Illumina HiSeq 2000	WGS-ESS1_ENDOMETRIUM	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of ESS1_ENDOMETRIUM	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8639234/SRR8639234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8639234/SRR8639234_2.fastq.gz		ESS1_ENDOMETRIUM	ESS1_ENDOMETRIUM	
SRR8635816	PRJNA523380	SAMN10988044	SRX5434564	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HCC1833_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HCC1833_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8635816/SRR8635816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8635816/SRR8635816_2.fastq.gz		HCC1833_LUNG	HCC1833_LUNG	
SRR8633809	PRJNA523380	SAMN10988037	SRX5432263	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-SNU349_KIDNEY	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of SNU349_KIDNEY	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8633809/SRR8633809.fastq.gz		SNU349_KIDNEY	SNU349_KIDNEY	
SRR8639238	PRJNA523380	SAMN10988270	SRX5437495	9606	Homo sapiens	Illumina HiSeq 2000	WGS-G361_SKIN	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of G361_SKIN	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8639238/SRR8639238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8639238/SRR8639238_2.fastq.gz		G361_SKIN	G361_SKIN	
SRR8633824	PRJNA523380	SAMN10988484	SRX5432248	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8633824/SRR8633824.fastq.gz		LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8635817	PRJNA523380	SAMN10988428	SRX5434563	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HCC1806_BREAST	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HCC1806_BREAST	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/007/SRR8635817/SRR8635817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/007/SRR8635817/SRR8635817_2.fastq.gz		HCC1806_BREAST	HCC1806_BREAST	
SRR8635818	PRJNA523380	SAMN10987789	SRX5434562	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HCC15_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HCC15_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8635818/SRR8635818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/008/SRR8635818/SRR8635818_2.fastq.gz		HCC15_LUNG	HCC15_LUNG	
SRR8639240	PRJNA523380	SAMN10988323	SRX5437493	9606	Homo sapiens	Illumina HiSeq 2000	WGS-G402_SOFT_TISSUE	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of G402_SOFT_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/000/SRR8639240/SRR8639240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/000/SRR8639240/SRR8639240_2.fastq.gz		G402_SOFT_TISSUE	G402_SOFT_TISSUE	
SRR8633825	PRJNA523380	SAMN10988507	SRX5432247	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/005/SRR8633825/SRR8633825.fastq.gz		L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SRR8652039	PRJNA523380	SAMN10988001	SRX5449861	9606	Homo sapiens	Illumina HiSeq 2000	WGS-NCIH1876_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of NCIH1876_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652039/SRR8652039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652039/SRR8652039_2.fastq.gz		NCIH1876_LUNG	NCIH1876_LUNG	
SRR8635819	PRJNA523380	SAMN10988467	SRX5434561	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HCC1599_BREAST	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HCC1599_BREAST	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8635819/SRR8635819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/009/SRR8635819/SRR8635819_2.fastq.gz		HCC1599_BREAST	HCC1599_BREAST	
SRR8633826	PRJNA523380	SAMN10989593	SRX5432246	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-SNB75_CENTRAL_NERVOUS_SYSTEM	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of SNB75_CENTRAL_NERVOUS_SYSTEM	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/006/SRR8633826/SRR8633826.fastq.gz		SNB75_CENTRAL_NERVOUS_SYSTEM	SNB75_CENTRAL_NERVOUS_SYSTEM	
SRR8635822	PRJNA523380	SAMN10988522	SRX5434558	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-HCC1419_BREAST	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of HCC1419_BREAST	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/002/SRR8635822/SRR8635822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/002/SRR8635822/SRR8635822_2.fastq.gz		HCC1419_BREAST	HCC1419_BREAST	
SRR8652040	PRJNA523380	SAMN10988520	SRX5449860	9606	Homo sapiens	Illumina HiSeq 2000	WGS-NCIH1869_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of NCIH1869_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652040/SRR8652040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652040/SRR8652040_2.fastq.gz		NCIH1869_LUNG	NCIH1869_LUNG	
SRR8633827	PRJNA523380	SAMN10988095	SRX5432245	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-NCIH684_LIVER	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of NCIH684_LIVER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/007/SRR8633827/SRR8633827.fastq.gz		NCIH684_LIVER	NCIH684_LIVER	
SRR8635824	PRJNA523380	SAMN10987986	SRX5434556	9606	Homo sapiens	Illumina HiSeq 2000	RainDance-NCIH1339_LUNG	AMPLICON	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RainDance of NCIH1339_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8635824/SRR8635824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8635824/SRR8635824_2.fastq.gz		NCIH1339_LUNG	NCIH1339_LUNG	
SRR8633834	PRJNA523380	SAMN10987750	SRX5432238	9606	Homo sapiens	Illumina HiSeq 2000	RRBS-NCIH838_LUNG	Bisulfite-Seq	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: RRBS of NCIH838_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR863/004/SRR8633834/SRR8633834.fastq.gz		NCIH838_LUNG	NCIH838_LUNG	
SRR8652041	PRJNA523380	SAMN10988158	SRX5449859	9606	Homo sapiens	Illumina HiSeq 2000	WGS-NCIH1836_LUNG	WGS	GENOMIC	2019-03-28	Illumina HiSeq 2000 sequencing: WGS of NCIH1836_LUNG	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652041/SRR8652041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652041/SRR8652041_2.fastq.gz		NCIH1836_LUNG	NCIH1836_LUNG	
